азғана	a little
көп	a lot
көп	a lot of
таслап кетиў	abandon
таслап кетилген	abandoned
садық қалыў	abide
бежере алыў	ability
қолдан келиў	able
ҳаққында	about
жоқарыда	above
сырт ел	abroad
жоқлығы	absence
жоқ	absent
толық түрде	absolutely
сиңдириў	absorb
абстракт	abstract
биймәни	absurd
молшылық	abundance
мол	abundant
кемситиў	abuse
акцент	accent
қабыллаў	accept
рухсат	access
қол жетиў	access
бахытсыз ҳәдийсе	accident
баспана	accommodation
әмелге асырыў	accomplish
орынланған	accomplished
гѳре	according
есап бети	account
анықлық	accuracy
қәтесиз	accurate
айыпланған	accused
аўырыў	ache
ерисиў	achieve
жетискенлик	achievement
тастыйықлаў	acknowledge
таныс	acquaintance
ийе болыў	acquire
алынған	acquired
ийе болыў	acquisition
бойлап	across
роль ойнаў	act
ҳәрекет	action
актив	active
әмелиятлар	activities
искерлик	activity
актёр	actor
актуал	actual
негизинде	actually
аўыр	acute
сәйкес келтириў	adapt
қосыў	add
берилген	addicted
қосымша	addition
қосымша	additional
жѳнелтириў	address
адрес	address
орынлы	adequate
тийип турған	adjacent
келбетлик	adjective
туўрылаў	adjust
илҳам алыў	admire
тән алыў	admit
асырап алыў	adopt
сүйкимли	adorable
илгерилеў	advance
илгерилеген	advanced
абзаллық	advantage
ҳәдийсе	adventure
рәўиш	adverb
реклама	advertisement
реклама	advertising
мәсләҳәт	advice
мәсләҳәт етиў	advise
адвокат	advocate
қорғаў	advocate
эстетика	aesthetic
ышқый мүнәсибет	affair
тәсир етиў	affect
сүйиў	affection
қурбы жетиў	afford
қурбы жететуғын	affordable
қорқыў	afraid
кейин	after
түстен кейин	afternoon
соң	afterwards
тағы	again
қарсы	against
жас	age
агентлик	agency
агент	agent
агрессив	aggressive
жедел	agile
алдын	ago
қосылыў	agree
келисим	agreement
аўыл хожалығы	agriculture
алдыға	ahead
жәрдем	aid
мақсет	aim
ҳаўа	air
аэропорт	airport
коридор	aisle
тревога	alarm
