a	ၼိူင်ႈဢၼ်
a little	ဢိတ်ႉဢိတ်ႉ
a lot	ၼမ်တေႉတေႉ
a lot of	ၼမ်လၢႆ
abandon	ၸႂ်ပိဝ်
abandon	ပွၺ်ႈၾႃႈ
abandoned	ပၢႆႊယၢၼ်
abide	ယိူၼ်ႉၵၼ်ႈ
ability	တၢင်းၵတ်ႉ
able	မေႃပဵၼ်
about	လွင်ႈတၢင်း
above	တင်းၼိူဝ်
abroad	မိူင်းၼွၵ်ႈ
absence	ႁၢမ်း
absent	လုတ်ႈႁၢမ်း
absolutely	တိုၼ်းဝႃႈတေႉတေႉ
absorb	ၸုတ်ႉဢဝ်
abstract	ဝူၼ်ႉပဵၼ်ဢဝ်ၵွၺ်း
absurd	ဢမ်ႇၸၢင်ႊပဵၼ်လႆႈ
abundance	မီးလူၼ်ႉ
abundant	ၼမ်လူၼ်ႉပူၼ်ႉ
abuse	ႁဵတ်းလွင်ႈမိူၵ်ႈမႂ်ႈ
abuse	မိူၵ်ႈ
accent	သဵင်လၢတ်ႈ
accept	ႁပ်ႉလႆႈ
access	လွင်ႈသုၼ်ႇလၢတ်ႈ၊ ၵပ်းသိုပ်ႇ
access	ႁွတ်ႈလႆႈ
accident	ဢမ်ႇသၢၵ်ႇထုၵ်ႇ
accommodation	ႁွင်ႈလိုဝ်ႈသဝ်း
accommodation	ၺီႉၵၼ်
accommodation	ပၼ်တီႈယူႇတီႈၼင်ႈ
accomplish	ပႃးၸွမ်းၼႂ်းလိူင်ႈ
accomplished	ယဝ်ႉတူဝ်ႈလီ
according	လူၺ်ႈ
account	ႁဵင်းမၢႆသုၼ်ႇတူဝ်
accuracy	မၢၼ်ႇမႅၼ်ႈလီ
accurate	မၢၼ်ႇမႅၼ်ႈ
accused	တၢင်ႇတၢင်းၽိတ်း
ache	ၵူၼ်ႈၶိုၼ်ႈ
ache	ၸဵပ်း
achieve	ဢွင်ႇမၢၼ်
achievement	လွင်ႈဢွင်ႇမၢင်ႇ
acknowledge	ပိုၼ်ႉႁူႉၼမ်
acquaintance	ႁူႉမိုတ်ႈဝႆႉ
acquire	လႆႈမႃး
acquired	ၵႅင်ႉ
acquisition	ႁႃႁွမ်တွမ်ႊ
across	ၶၢမ်ႈ
act	လဵၼ်ႈၸိူင်း
