شوية	a little
بزاف	a lot
بزاف ديال	a lot of
هجر	abandon
تخلى	abandon
مهجور	abandoned
التزام	abide
قدرة	ability
قادر	able
على	about
بالخصوص ديال	about
فوق	above
فالخارج	abroad
غياب	absence
غائب	absent
بالضبط	absolutely
طبعًا	absolutely
امتص	absorb
خلاصة	abstract
تخربيق	absurd
وفرة	abundance
كتير	abundant
إساءة	abuse
لكنة	accent
نبرة	accent
بغا	accept
قبل	accept
دخلة	access
وصول	access
صدفة	accident
كسيدا	accident
سكن	accommodation
إقامة	accommodation
حقق	accomplish
إنجاز	accomplished
على حسب	according
كونط	account
دقة	accuracy
دقيق	accurate
متهم	accused
حريق	ache
وصل	achieve
حقق	achieve
إنجاز	achievement
اعترف	acknowledge
معرفة	acquaintance
اكتسب	acquire
مكتسب	acquired
اكتساب	acquisition
على	across
قانون	act
مثّل	act
إجراء	action
تصرف	action
نشيط	active
أنشطة	activities
نشاط	activity
ممثل	actor
حقيقي	actual
فعلاً	actually
فالحقيقة	actually
قاصح	acute
ولّف	adapt
زيد	add
مدمن	addicted
زيادة	addition
إضافي	additional
زايد	additional
عنوان	address
عالج	address
مناسب	adequate
قريب	adjacent
صفة	adjective
عدّل	adjust
عجبو	admire
معجب	admire
اعترف	admit
تبني	adopt
زوين	adorable
عربون	advance
سبّق	advance
متقدم	advanced
ميزة	advantage
مغامرة	adventure
ظرف	adverb
إعلان	advertisement
دعاية	advertising
نصيحة	advice
نصيحة	advise
محامي	advocate
دافع على	advocate
جمالي	aesthetic
علاقة غرامية	affair
قضية	affair
أثّر على	affect
عاطفة	affection
تحمّل	afford
بثمن معقول	affordable
خايف	afraid
بعد	after
بعد الظهر	afternoon
موراها	afterwards
عاوتاني	again
ضد	against
مقابل مع	against
سن	age
هصر	age
وكالة	agency
وكيل	agent
عنيف	aggressive
رشيق	agile
هادي	ago
وافق	agree
اتفاقية	agreement
زراعة	agriculture
لقدام	ahead
مساعدة	aid
هدف	aim
غرض	aim
هوا	air
مطار	airport
ممر	aisle
جناح	aisle
تنبيه	alarm
