ߘߐ߫	a
ߘߜ߭ߐߣߌ	a little
ߗߡߊ߫	a lot
ߗߊߡߊ߫	a lot of
ߓߵߟߏߞߊ߬	abandon
ߓߵߟߏߞߊ߬ߙߊ߫	abandoned
ߞߴߌ ߓߍ߬ ߊ߬ ߡߊ߬	abide
ߛߋߓߊ߯ߦߊ	ability
ߓߌߛߋ߫	able
ߞߊ߬	about
ߛߊ߲ߝߍ߬	above
ߞߐߞߊ߲߬	abroad
ߣߊ߬ߟߌ߬ߓߊߟߌߦߊ	absence
ߕߋ߫ ߦߋ߬	absent
ߡߊ߫ ߣߊ߬	absent
ߏ߬ ߦߋ߫ ߗߎߢߍ߫ ߦߋ߫	absolutely
ߞߵߊ߬ ߛߊ߬ߡߊ߲߬	absorb
ߜ߭ߊ߲ߛߊ߲ߡߊ	abstract
ߟߊߘߓߌ߬ߟߋ	absurd
ߘߊ߲߬ߕߡߌ	abundance
ߘߣߊ߬ߕߡߌߟߋ	abundant
ߘߊ߲߭ߕߡߌ߬	abuse
ߞߎߡߊߗߏߜ߭ߏ	accent
ߛߐ߬	accept
ߘߏ߬	access
ߘߏ߲߬ߘߊ	access
ߘߏ߬ߦߙߐ	access
ߡߴߊ߬ ߟߊߥߟߌ߬ ߊ߬ ߡߊ߬	accident
ߟߊ߬ߖߌ߬ߦߊ߬ߟߌ	accommodation
ߞߵߊ߬ ߞߍ߫ ߞߵߊ߬ ߟߊߓߊ߲	accomplish
ߓߊߓߋ߬	accomplished
ߞߊ߫ ߞߎߡߟߊ߫	according
ߖߊ߬ߕߋ߫ ߡߌ߬ߣߍ߬	account
ߕߌߟߋ߲	accuracy
ߕߵߟߋ߲	accurate
ߕߐ߬ߢߍ߬	accused
ߘߌߡߌ	ache
ߛߋߙߊ߫	achieve
ߛߐ߬ߙߐ߬	achieve
ߛߙߐ߬ߟߌ	achievement
ߝߐ߫	acknowledge
ߘߐߓߊߜ߭ߊ	acquaintance
ߛߐ߬ߙߐ߬	acquire
ߛߙߐ߬	acquired
ߛߙߐ߬ߟߌ	acquisition
ߟߊߕߌ߬ߜ߭ߍ߬	across
ߓߊ߯ߙߊ ߞߍߟߋ߫	act
ߣߐ߭	action
ߓߋ߫ ߓߊ߯ߙߟߊ߫	active
ߓߊ߯ߙߊߥߵ	activities
ߓߊ߯ߙߊ	activity
ߢߊ߬ߙߊ	actor
ߥߜ߭߭ߊߕߌ ߦߌ߲߬	actual
ߌ ߓߊ߫ ߘߐ߫	actually
ߢߎ ߫ ߟߊߓߐߟߋ	acute
ߘߋ߬ߟߌ߬	adapt
ߝߙߊ߬	add
ߘߊ߬ߙߌ	addicted
ߝߙߊ߬ߟߌ ߊ߬ ߞߊ߲߬	addition
ߞߵߊ߬ ߝߙߊ߬ ߞߊ߲߬	additional
ߖߌ߬ߦߊ߬ ߦߐߙߐ	address
ߓߍ߬ߟߋ߫ ߊ߬ ߡߊ߬	adequate
ߕߐ߬ߝߍ߬ߡߊ	adjacent
ߡߊ߬ߞߎߕߎ	adjective
ߡߊߓߍ߲߬	adjust
ߞߊߛߌ߫	admire
ߛߵߊ߬ ߡߊ߬	admit
ߟߊߡߐ߰	adopt
