abandoned	qimataq
abandon	tunniutiinnartoq
abide	eqqortippaa
ability	pisinnaaneq
able	atorsinnaasoq
about	tunngassuteqarpoq
above	qulaani
abroad	nunani allaniippoq
absence	najuutinnginneq
absent	takkutinngitsoorneq
absolutely	taamaalluinnarpoq
absorb	milluguppaa
abstract	siammasissoq
absurd	isumaqanngilluinnartoq
abundance	arsivoq
abundant	sualuttumik
abuse	atornerluineq
accent	sumiorpaluut
accept	akuersineq
access	iserfissaq
accident	ajutoorneq
accommodation	najugaqarfik inissikkallartarfik
accomplish	angusaa
accomplished	naammassivoq
according	malillugu
account	atuisutut konto
accuracy	paasinarluartoq
accurate	taamatorluinnaq
accused	unnerluussut
ache	anniaat
achieve	angusaa
achievement	takutitsineq
acknowledge	ilisimassuseq
acquaintance	ilisarisimaqatigiinneq
acquired	pissarsivoq
acquire	suliaq
acquisition	sulisoqarneq
across	akimorlugu
act	iliuuseq
action	iliuuseq
active	atuisut
activities	sammisassat
activity	sammisaq
actor	isiginnaartitsisartut
actually	imaattoq
actual	pissusiviusut
acute	nuua
adapt	naleqqussarneq
addicted	pinngitsoorsinnaanngilaa
add	ikkuppaa
additional	alla saniatigut
addition	tapiliussaq
address	najugaq
adequate	naammappoq
adjacent	sanileq
adjective	pissusilerissut
adjust	inissippaa
admire	nersorpaa
admit	Anassuineq
adopt	meerarsiartaaraa
adorable	piuminaq
advanced	siuariaatit
advance	nusuppaa
advantage	ajunngequtaa
adventure	misigisassarsiorneq
adverb	oqaaseeraq
advertisement	siunnersuutit
advertising	takoqqusaarummik saqqummiussineq
advice	siunnersuut
advise	siunnersuut
advocate	illersorti
aesthetic	kusanartoq
affair	saniatigooqarneq
affection	asanninneq
affect	sunnerpaa
affordable	unamminarpoq
afford	akissalik
afraid	ersivoq
after	kingorna
afternoon	unnuk
afterwards	kingunerisaanik
again	aamma
against	unammillugu
agency	bureau
agent	tuniniaasitsisoq
age	ukiut
aggressive	kamaqqasoq
agile	eqaappoq
ago	qaagiuppoq
agree	isumaqataaneq
agreement	isumaqatigiissut
agriculture	nunalerineq
ahead	saava
aid	ikiuineq
aim	umerorpaa
airport	timmisartoqarfik
air	silaannaq
aisle	katikkiartornermi aqqut
alarm	kalerrisaarut
alcohol	aalakoornartoq
alert	sukkasooq
a little	immannguaq
alive	uumavoq
allowed	akueraa
allow	pitippaa
all right	ajunngilaq
all	tamaasa
all the best	pitsaanerpaamik
alone	kisimi
along	ingerlanerani
a lot	assut
a lot of	amerlasuut
already	tassa
Alright	ajunngilaq
also	aamma
alternative	qiningassat
although	taamaakkaluarpalluunniit
always	tamatigut
amazing	nuanneq
ambiguous	marlunnik paasineqarsinnaaneq
ambition	angusaqarluarusussuseq
ambitious	piumassuseqarluinnartoq
amend	allanngortippaa
amid	qeqqa
among	akornanni
among us	akornatsinni
amount	nalinga
amusing	aliikkusersortinnarpoq
analysis	Amisissuineq
ancestors	siulit
anchor	suliarinnittoq
ancient	utoqqaassuseq
and	aamma
and you	aamma illit
angel	inngili
anger	kamassaq
angle	qiverneq
angry	kamappoq
animal	uumasoq
ankle	singerneq
anniversary	ullorsiorneq
announcement	nalunaarutiginninneq
annoyed	arrappoq
annoying	qinngarnartoq
annoy	isumalunneq
annual	ukiumut
anonymous	kinaanerminik isertuussisoq
another	alla
answer	akissut
anticipate	sioqquppaa
anxiety	annilaaganeq
anxious	annilaagasoq
anymore	takinermik
anyone	kinaluunniit
any	suulluunniit
anything	sunaluunniit
anyways	kisianni
anyway	taamaakkaluartoq
apart	avillugu
apartment	ini
apologize	utoqqatserneq
apparent	ilimanaq
apparently	ilimanarpoq
